Sending: (('id', '120345678901234'), ('timestamp', 1761227438), ('lat', 41.938271), ('lon', -87.908458), ('speed', 42.1166), ('heading', 257))
Sending: (('id', '120345678901234'), ('timestamp', 1761227440), ('lat', 41.937593), ('lon', -87.912398), ('speed', 38.3369), ('heading', 253))
Sending: (('id', '120345678901234'), ('timestamp', 1761227443), ('lat', 41.93669), ('lon', -87.915071), ('speed', 23.7581), ('heading', 236))
Sending: (('id', '120345678901234'), ('timestamp', 1761227445), ('lat', 41.935433), ('lon', -87.917105), ('speed', 23.2182), ('heading', 223))
Sending: (('id', '120345678901234'), ('timestamp', 1761227447), ('lat', 41.934383), ('lon', -87.918223), ('speed', 18.8985), ('heading', 213))
Sending: (('id', '120345678901234'), ('timestamp', 1761227450), ('lat', 41.93335), ('lon', -87.91898), ('speed', 12.959), ('heading', 204))
Sending: (('id', '120345678901234'), ('timestamp', 1761227452), ('lat', 41.933011), ('lon', -87.919185), ('speed', 14.5788), ('heading', 200))
Sending: (('id', '120345678901234'), ('timestamp', 1761227454), ('lat', 41.932453), ('lon', -87.91945), ('speed', 14.5788), ('heading', 196))
Sending: (('id', '120345678901234'), ('timestamp', 1761227457), ('lat', 41.931853), ('lon', -87.91968), ('speed', 12.959), ('heading', 196))
Sending: (('id', '120345678901234'), ('timestamp', 1761227459), ('lat', 41.930613), ('lon', -87.919931), ('speed', 5.39957), ('heading', 182))
Sending: (('id', '120345678901234'), ('timestamp', 1761227461), ('lat', 41.930481), ('lon', -87.919943), ('speed', 4.31966), ('heading', 187))
Sending: (('id', '120345678901234'), ('timestamp', 1761227464), ('lat', 41.930393), ('lon', -87.919946), ('speed', 11.8791), ('heading', 181))
Sending: (('id', '120345678901234'), ('timestamp', 1761227466), ('lat', 41.929963), ('lon', -87.919963), ('speed', 4.85961), ('heading', 179))
Sending: (('id', '120345678901234'), ('timestamp', 1761227468), ('lat', 41.929743), ('lon', -87.919965), ('speed', 11.3391), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227471), ('lat', 41.928735), ('lon', -87.919985), ('speed', 16.1987), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227473), ('lat', 41.9279), ('lon', -87.920001), ('speed', 11.3391), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227475), ('lat', 41.92726), ('lon', -87.920003), ('speed', 5.39957), ('heading', 178))
Sending: (('id', '120345678901234'), ('timestamp', 1761227478), ('lat', 41.927093), ('lon', -87.92001), ('speed', 12.959), ('heading', 181))
Sending: (('id', '120345678901234'), ('timestamp', 1761227480), ('lat', 41.926533), ('lon', -87.920013), ('speed', 18.8985), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227482), ('lat', 41.925233), ('lon', -87.920021), ('speed', 18.8985), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227485), ('lat', 41.924653), ('lon', -87.920026), ('speed', 3.7797), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227487), ('lat', 41.924611), ('lon', -87.920023), ('speed', 0), ('heading', 181))
Sending: (('id', '120345678901234'), ('timestamp', 1761227489), ('lat', 41.92461), ('lon', -87.920023), ('speed', 0), ('heading', 181))
Sending: (('id', '120345678901234'), ('timestamp', 1761227492), ('lat', 41.92421), ('lon', -87.92003), ('speed', 11.8791), ('heading', 181))
Sending: (('id', '120345678901234'), ('timestamp', 1761227494), ('lat', 41.923315), ('lon', -87.920043), ('speed', 11.8791), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227496), ('lat', 41.922911), ('lon', -87.920038), ('speed', 8.63931), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227499), ('lat', 41.92236), ('lon', -87.920043), ('speed', 9.71923), ('heading', 190))
Sending: (('id', '120345678901234'), ('timestamp', 1761227501), ('lat', 41.922301), ('lon', -87.920056), ('speed', 15.1188), ('heading', 190))
Sending: (('id', '120345678901234'), ('timestamp', 1761227503), ('lat', 41.920803), ('lon', -87.920091), ('speed', 18.3585), ('heading', 179))
Sending: (('id', '120345678901234'), ('timestamp', 1761227506), ('lat', 41.919808), ('lon', -87.920095), ('speed', 15.6588), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227508), ('lat', 41.918676), ('lon', -87.92011), ('speed', 19.9784), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227510), ('lat', 41.917736), ('lon', -87.920116), ('speed', 7.5594), ('heading', 179))
Sending: (('id', '120345678901234'), ('timestamp', 1761227513), ('lat', 41.916938), ('lon', -87.920115), ('speed', 16.7387), ('heading', 179))
Sending: (('id', '120345678901234'), ('timestamp', 1761227515), ('lat', 41.915748), ('lon', -87.920126), ('speed', 17.2786), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227517), ('lat', 41.91433), ('lon', -87.920138), ('speed', 21.0583), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227520), ('lat', 41.913161), ('lon', -87.92014), ('speed', 7.5594), ('heading', 181))
Sending: (('id', '120345678901234'), ('timestamp', 1761227522), ('lat', 41.912915), ('lon', -87.920143), ('speed', 18.3585), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227524), ('lat', 41.912213), ('lon', -87.920133), ('speed', 13.4989), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227526), ('lat', 41.910878), ('lon', -87.920123), ('speed', 17.2786), ('heading', 179))
Sending: (('id', '120345678901234'), ('timestamp', 1761227529), ('lat', 41.90941), ('lon', -87.920111), ('speed', 15.6588), ('heading', 179))
Sending: (('id', '120345678901234'), ('timestamp', 1761227531), ('lat', 41.908751), ('lon', -87.92011), ('speed', 25.378), ('heading', 179))
Sending: (('id', '120345678901234'), ('timestamp', 1761227534), ('lat', 41.907665), ('lon', -87.920106), ('speed', 27.5378), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227536), ('lat', 41.906416), ('lon', -87.920118), ('speed', 17.8186), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227538), ('lat', 41.905085), ('lon', -87.920136), ('speed', 21.0583), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227541), ('lat', 41.903425), ('lon', -87.920126), ('speed', 24.838), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227543), ('lat', 41.901863), ('lon', -87.920141), ('speed', 22.6782), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227545), ('lat', 41.900246), ('lon', -87.92015), ('speed', 24.2981), ('heading', 179))
Sending: (('id', '120345678901234'), ('timestamp', 1761227548), ('lat', 41.898695), ('lon', -87.920023), ('speed', 22.6782), ('heading', 173))
Sending: (('id', '120345678901234'), ('timestamp', 1761227550), ('lat', 41.89829), ('lon', -87.919938), ('speed', 24.2981), ('heading', 168))
Sending: (('id', '120345678901234'), ('timestamp', 1761227552), ('lat', 41.897366), ('lon', -87.919748), ('speed', 25.9179), ('heading', 169))
Sending: (('id', '120345678901234'), ('timestamp', 1761227555), ('lat', 41.897013), ('lon', -87.919663), ('speed', 24.838), ('heading', 169))
Sending: (('id', '120345678901234'), ('timestamp', 1761227557), ('lat', 41.895085), ('lon', -87.919088), ('speed', 27.5378), ('heading', 167))
Sending: (('id', '120345678901234'), ('timestamp', 1761227559), ('lat', 41.893583), ('lon', -87.918616), ('speed', 24.838), ('heading', 166))
Sending: (('id', '120345678901234'), ('timestamp', 1761227562), ('lat', 41.893075), ('lon', -87.918463), ('speed', 32.3974), ('heading', 168))
Sending: (('id', '120345678901234'), ('timestamp', 1761227564), ('lat', 41.890975), ('lon', -87.918138), ('speed', 46.9763), ('heading', 177))
Sending: (('id', '120345678901234'), ('timestamp', 1761227567), ('lat', 41.889295), ('lon', -87.918195), ('speed', 53.4557), ('heading', 186))
Sending: (('id', '120345678901234'), ('timestamp', 1761227570), ('lat', 41.887358), ('lon', -87.918581), ('speed', 51.2959), ('heading', 188))
Sending: (('id', '120345678901234'), ('timestamp', 1761227572), ('lat', 41.883873), ('lon', -87.919296), ('speed', 52.3758), ('heading', 183))
Sending: (('id', '120345678901234'), ('timestamp', 1761227574), ('lat', 41.88), ('lon', -87.919221), ('speed', 58.8553), ('heading', 172))
Sending: (('id', '120345678901234'), ('timestamp', 1761227577), ('lat', 41.875848), ('lon', -87.91834), ('speed', 60.4752), ('heading', 170))
Sending: (('id', '120345678901234'), ('timestamp', 1761227579), ('lat', 41.871841), ('lon', -87.91744), ('speed', 52.9158), ('heading', 170))
Sending: (('id', '120345678901234'), ('timestamp', 1761227582), ('lat', 41.868455), ('lon', -87.916925), ('speed', 50.756), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227584), ('lat', 41.864936), ('lon', -87.9175), ('speed', 50.216), ('heading', 192))
Sending: (('id', '120345678901234'), ('timestamp', 1761227586), ('lat', 41.861075), ('lon', -87.918666), ('speed', 54.5357), ('heading', 193))
Sending: (('id', '120345678901234'), ('timestamp', 1761227589), ('lat', 41.857773), ('lon', -87.919696), ('speed', 44.2765), ('heading', 184))
Sending: (('id', '120345678901234'), ('timestamp', 1761227591), ('lat', 41.854503), ('lon', -87.919455), ('speed', 53.9957), ('heading', 176))
Sending: (('id', '120345678901234'), ('timestamp', 1761227594), ('lat', 41.85073), ('lon', -87.919381), ('speed', 55.0756), ('heading', 180))
Sending: (('id', '120345678901234'), ('timestamp', 1761227596), ('lat', 41.847661), ('lon', -87.919473), ('speed', 37.797), ('heading', 182))
Sending: (('id', '120345678901234'), ('timestamp', 1761227598), ('lat', 41.846783), ('lon', -87.919616), ('speed', 24.2981), ('heading', 213))
Sending: (('id', '120345678901234'), ('timestamp', 1761227601), ('lat', 41.846783), ('lon', -87.919616), ('speed', 24.2981), ('heading', 213))
Sending: (('id', '120345678901234'), ('timestamp', 1761227603), ('lat', 41.84664), ('lon', -87.919858), ('speed', 26.4579), ('heading', 243))
Sending: (('id', '120345678901234'), ('timestamp', 1761227605), ('lat', 41.846623), ('lon', -87.920333), ('speed', 25.9179), ('heading', 285))
Sending: (('id', '120345678901234'), ('timestamp', 1761227608), ('lat', 41.846856), ('lon', -87.920653), ('speed', 19.4385), ('heading', 332))
Sending: (('id', '120345678901234'), ('timestamp', 1761227610), ('lat', 41.846936), ('lon', -87.920695), ('speed', 16.7387), ('heading', 337))
Sending: (('id', '120345678901234'), ('timestamp', 1761227612), ('lat', 41.847298), ('lon', -87.920826), ('speed', 22.6782), ('heading', 340))
Sending: (('id', '120345678901234'), ('timestamp', 1761227615), ('lat', 41.847675), ('lon', -87.92106), ('speed', 12.959), ('heading', 302))
Sending: (('id', '120345678901234'), ('timestamp', 1761227617), ('lat', 41.847675), ('lon', -87.92106), ('speed', 12.959), ('heading', 302))
Sending: (('id', '120345678901234'), ('timestamp', 1761227619), ('lat', 41.847716), ('lon', -87.921245), ('speed', 18.8985), ('heading', 272))
Sending: (('id', '120345678901234'), ('timestamp', 1761227622), ('lat', 41.847691), ('lon', -87.921521), ('speed', 24.2981), ('heading', 264))
Sending: (('id', '120345678901234'), ('timestamp', 1761227624), ('lat', 41.84768), ('lon', -87.921681), ('speed', 26.9979), ('heading', 267))
Sending: (('id', '120345678901234'), ('timestamp', 1761227626), ('lat', 41.847616), ('lon', -87.92488), ('speed', 35.6372), ('heading', 268))
Sending: (('id', '120345678901234'), ('timestamp', 1761227629), ('lat', 41.847595), ('lon', -87.925725), ('speed', 17.2786), ('heading', 267))
Sending: (('id', '120345678901234'), ('timestamp', 1761227631), ('lat', 41.84759), ('lon', -87.925978), ('speed', 0), ('heading', 270))
Sending: (('id', '120345678901234'), ('timestamp', 1761227634), ('lat', 41.84758), ('lon', -87.926031), ('speed', 0), ('heading', 243))
Sending: (('id', '120345678901234'), ('timestamp', 1761227636), ('lat', 41.847595), ('lon', -87.926116), ('speed', 10.2592), ('heading', 279))
Sending: (('id', '120345678901234'), ('timestamp', 1761227638), ('lat', 41.847595), ('lon', -87.926116), ('speed', 10.2592), ('heading', 279))
Sending: (('id', '120345678901234'), ('timestamp', 1761227641), ('lat', 41.847578), ('lon', -87.92694), ('speed', 34.0173), ('heading', 267))
Sending: (('id', '120345678901234'), ('timestamp', 1761227643), ('lat', 41.847515), ('lon', -87.928823), ('speed', 2.15983), ('heading', 264))
Sending: (('id', '120345678901234'), ('timestamp', 1761227645), ('lat', 41.847518), ('lon', -87.928858), ('speed', 3.7797), ('heading', 279))
Sending: (('id', '120345678901234'), ('timestamp', 1761227648), ('lat', 41.84752), ('lon', -87.928961), ('speed', 11.8791), ('heading', 268))
Sending: (('id', '120345678901234'), ('timestamp', 1761227650), ('lat', 41.847516), ('lon', -87.929271), ('speed', 21.5983), ('heading', 267))
Sending: (('id', '120345678901234'), ('timestamp', 1761227652), ('lat', 41.847458), ('lon', -87.931288), ('speed', 38.8769), ('heading', 268))
Sending: (('id', '120345678901234'), ('timestamp', 1761227655), ('lat', 41.847336), ('lon', -87.935025), ('speed', 39.4169), ('heading', 264))
Sending: (('id', '120345678901234'), ('timestamp', 1761227657), ('lat', 41.847246), ('lon', -87.938693), ('speed', 36.1771), ('heading', 268))
Sending: (('id', '120345678901234'), ('timestamp', 1761227660), ('lat', 41.847136), ('lon', -87.94245), ('speed', 37.797), ('heading', 269))
